@RELATION french

@ATTRIBUTE text   string
@ATTRIBUTE class  {CD,CI,DZ,FR,MA,SN}

@DATA
" Félix Tshisekedi et le folklore institutionnel en RDC ", CD
" L’année 2021 s’est achevée, mettant terme à un théâtre affligeant tant à la tête du pays qu’au sein de toute la société congolaise.", CD
" Le Fondé, qui sort de sa petite retraite, reprend sa plume pour la résumer.", CD
" Ne croyez jamais un journaliste quand il annonce raccrocher sa plume.", CD
" Le Fondé a tenté, depuis juin dernier, de s’éloigner de ce monde de tourments, fatigué surtout de dépeindre une réalité qui ne change : celle d’un pays qui va vers un mur, en klaxonnant.", CD
" Aussi, au 1er janvier 2022, la plume refuse de se coucher et rappelle la mission.", CD
" Le retrait, qui était certes nécessaire, a surtout permis de se focaliser sur une santé pas très olympique durant 2021.", CD
" Mais ni la maladie, ni la fatigue émotionnelle, encore moins la capitulation ne peuvent être tolérées lorsqu’il s’agit d’informer sur le Congo et porter haut la flamme de la vérité.", CD
" Pour ce retour en silence, la gouvernance au Congo préoccupe.", CD
" 2021 est la parfaite illustration.", CD
" « Il ne manquait plus qu’au président de dire : quand je serai au pouvoir, je vais changer le Congo », murmurait un ami en écoutant le discours de Félix Tshisekedi sur l’état de la Nation, le 13 décembre dernier.", CD
" Certes, durant cet oral « sans papier », le Chef de l’État s’est mué en critique.", CD
" Un peu comme s’il remplaçait le Fondé, dénonçant les institutions judiciaires par-ci, ses collaborateurs par-là, ou encore, lorsqu’il ne dénonçait pas, il promettait des changements.", CD
" « Des hommes qu’il faut, à la place qu’il faut ».", CD
" Mais qui dirige tout ce monde ?", CD
" Qui est censé les révoquer ?", CD
" Deux semaines après, le Président n’a pas changé de disque.", CD
" Un peu comme Wendo Kolosoy qui continue de jouer son tube « Marie-Louise », sachant que celui-ci endiable les Congolais… ", CD
" « Frère de Sang » ", CD
" - Publicité- ", CD
" Félix Tshisekedi a mis cap vers le Kasaï natal, son bastion, une terre où il est l’équivalent du Christ-Jésus, et où son paternel, feu Etienne Tshisekedi, est l’homonyme de Dieu.", CD
" Là-bas, à la terre sainte d’un parti présidentiel qui a un fort encrage tribal Luba, le peuple l’a porté en triomphe.", CD
" Mais pas seulement pour chanter.", CD
" Ce dernier, qui lui avait offert un score stalinien à la dernière présidentielle, venait surtout demander des comptes à son « Seigneur ».", CD
" Car en effet, le Kasaï est le parent pauvre d’un pouvoir qui tangue et peine à montrer des résultats.", CD
