corpus,FR-CD,corpus,FR-CI,corpus,FR-DZ,corpus,FR-FR,corpus,FR-MA,corpus,FR-SN
Item,Frequency,Item,Frequency,Item,Frequency,Item,Frequency,Item,Frequency,Item,Frequency
de la,605,de la,547,de la,569,de la,331,de la,542,de la,494
de l'',336,de l'',405,de l'',366,de l'',257,de l'',358,de l'',371
dans le,247,à la,193,à l'',193,à la,172,à la,202,à la,179
le territoire,190,à l'',183,à la,187,qu'' il,145,à l'',176,à l'',156
à la,173,Côte d'',170,c'' est,107,sur le,143,d'' une,142,qu'' il,132
territoire de,159,Côte d'' Ivoire,163,qu'' il,101,c'' est,140,et de,141,et de,124
du territoire,155,d'' Ivoire,163,et de,99,à l'',131,d'' un,139,c'' est,114
dans la,133,et de,149,dans le,93,d'' une,131,dans la,113,dans le,106
à l'',130,du marché,137,sur le,81,d'' un,122,dans le,104,d'' une,97
et de,113,c'' est,118,d'' un,81,C'' est,89,qu'' il,102,C'' est,96
Wonder Woman,110,sur le,117,dans la,81,et de,86,c'' est,99,d'' un,90
dans le territoire,98,dans le,102,n'' a,78,dans le,85,C'' est,96,dans la,85
et la,93,d'' un,100,que le,76,le site,83,n'' est,91,dans les,75
pour la,89,et les,99,d'' une,75,sur le site,80,et les,88,et la,75
dans les,87,d'' une,97,n'' est,74,que vous,77,dans les,76,Ousmane Sonko,74
de santé,83,dans la,91,a été,70,critique complète,70,et la,68,plus de,74
et le,79,C'' est,88,C'' est,69,est disponible,68,et le,63,y a,72
d'' une,76,qu'' il,79,dans les,69,y a,67,sur la,63,et les,70
le territoire de,74,a été,77,pour le,60,dans la,66,est un,62,a été,70
d'' un,74,sur les,75,pour la,60,complète est disponible,66,sur le,60,n'' est,67
et les,73,y a,73,et le,55,disponible sur,66,pour les,59,de son,67
Le territoire,69,que le,68,qui a,55,disponible sur le,66,a été,59,et des,67
que le,66,de son,68,face à,54,La critique,66,que les,58,sur les,59
par la,64,de marché,67,que la,53,est disponible sur,66,que le,56,que la,55
secteur de,63,et des,66,a pas,53,critique complète est,66,et l'',55,est pas,54
et des,62,sur la,62,pour les,52,La critique complète,66,par les,54,de leur,53
de poids,61,dans les,61,et la,51,complète est,66,n'' a,53,que le,52
sur le,59,le marché,60,ce qui,51,n'' a,65,et des,52,sur le,52
y a,59,pour le,57,y a,50,à une,63,s'' est,52,qu'' ils,51
qu'' il,58,d'' intérieur,56,H. Malki,50,est pas,62,dans l'',51,que l'',51
C'' est,57,et la,56,Année universitaire,50,n'' est,60,est pas,51,par la,50
c'' est,57,et le,53,H. Malki Année,49,que nous,60,sur les,51,n'' est pas,50
la population,57,pour les,52,Malki Année,49,est un,60,n'' est pas,50,de Dakar,49
Félix Tshisekedi,56,n'' est,52,de son,49,de son,57,la vie,50,il a,49
des pouvoirs,56,tous les,51,Malki Année universitaire,49,dans les,56,tous les,49,sur la,47
par le,55,en Côte,51,et les,48,se plaindre,56,ce qui,49,n'' a,47
plus de,55,en Côte d'',49,s'' est,47,tous les,53,au Maroc,47,d'' autres,47
de Walungu,54,il y,48,que les,47,il est,52,que la,46,que les,45
le secteur,54,j'' ai,47,de ce,47,qu'' ils,52,de ses,45,Barthélemy Dias,43
n'' est,53,ce qui,46,par le,46,que le,52,il est,45,du Sénégal,42
a été,51,qui a,46,qu'' ils,45,dans un,50,la ville,45,il n'',42
perte de,50,s'' est,45,est pas,45,pas de,49,de son,45,à une,41
le secteur de,50,n'' a,45,par l'',44,et les,48,y a,44,et à,41
sur la,49,D'' IVOIRE,44,n'' est pas,44,pas habité,48,pour la,43,pour la,40
la ville,47,plus de,44,sur la,44,s'' est,47,d'' autres,43,qui a,40
et l'',47,l'' industrie,44,n'' a pas,43,un peu,46,plus de,43,dans l'',40
séparation des,47,que la,44,tous les,42,que les,45,par le,42,de faire,39
dans l'',47,et d'',43,à un,42,et le,45,et d'',42,tous les,39
de son,46,que les,42,qu'' on,41,sur la,44,sur l'',41,de cette,39
séparation des pouvoirs,46,CÔTE D'',42,et des,41,n'' est pas,44,le monde,41,et d'',39
par les,46,CÔTE D'' IVOIRE,42,par la,41,il n'',44,Il est,40,pour le,38
que les,46,est un,42,dans l'',40,dans l'',44,que l'',40,Macky Sall,38
que la,45,qu'' on,41,l'' équipe,40,que je,43,dans une,40,il y,38
n'' a,45,marché mondial,41,de cette,40,il y,43,il y,39,l'' Etat,38
territoire de Walungu,44,et l'',41,ont été,39,du verbe,43,par la,38,par les,38
qui a,44,à un,41,que je,38,que tu,43,d'' être,37,de ce,37
est un,44,est le,40,il est,38,et la,43,et à,36,l'' opposition,36
est de,43,sur le marché,40,par les,37,a été,42,avec la,36,d'' être,36
pour le,43,Concentré de,40,de faire,37,de se,41,dans un,34,toutes les,36
dans le secteur,42,que vous,39,et l'',37,j'' ai,41,que je,34,est un,36
de cette,40,BTP CÔTE,39,il a,36,est une,41,de se,33,pour les,35
par l'',39,est pas,39,et d'',36,qu'' elle,40,nous avons,33,s'' est,35
sur les,39,il y a,39,dans un,36,qui se,40,qui se,33,de ses,35
Le territoire de,39,et à,39,qui se,35,sur les,39,de sa,33,qu'' on,35
de Masisi,37,BTP CÔTE D'',39,qui est,35,a pas,39,pour l'',33,et le,35
est une,37,n'' est pas,38,face au,35,que la,38,le plus,32,dans une,34
le plus,37,par les,38,j'' ai,35,ce qui,37,qui s'',32,de santé,34
est pas,36,dans l'',38,est une,34,pour les,37,à ce,31,a pas,33
dans ce,36,a pas,37,est le,33,est le,37,de ce,31,la première,33
a pas,36,de l'' industrie,36,de se,33,ne pas,36,qu'' ils,31,dans un,33
